"id","request.custom_id","success","result.product.title","result.product.book_description"
"0DAA1DD97BFE4E64BFBB85B78CDB3E5F",,true,,
"5B7B4A02BDA34BADBC6BAF7C270829C5",,true,"8810","Join Bill Morison on his journey through corporate America, as he learns about auditing insurance and just how irritating people can be. This book contains office related humor, inspired by the author’s experiences in navigating through corporate life."
"BF6D356A2273458F8F98AB1302D0D021",,true,,
"E0420E2D25EA41CBAAF97360069DB59F",,true,"The Bulldog Drummond Chronicles (Illustrated)","NOTE: This edition has a linked ""Table of Contents"" and has been beautifully formatted (searchable and interlinked) to work on your Amazon e-book reader, Amazon Desktop Reader, your iPad/iPhone ebook reader and any other device that carries the Amazon app. . Exclusively in this collection:- Featuring brand new, original artwork and illustrations- Book One: Bite of the Bulldog - A Collection of 12 Bulldog Drummond Stories!- Book Two: Bulldog and The Black Gang. A collection of the first thirteen stories--in two books--from the ""Bulldog Drummond"" series, written by ""Sapper"", (a pseudonym of Herman Cyril McNeale) in the early 1920's.. The stories follow the adventures of Captain Hugh ""Bulldog"" Drummond, D.S.O., M.C., a wealthy former WWI officer of the Loamshire Regiment, who, after the war, spends his new-found leisure time as a private detective.. Drummond is a James Bond-like figure and a rougher version of the adventurers depicted by the likes of John Buchan and Rider Haggard.. These are well-written, thrilling suspense stories. A must-have for classic pulp action fans!"
"985CDAD0336D4BAFB8C720F40CFBEA46",,true,"Flirting in Traffic","Blush: This is a sensual romance (may have explicit love scenes, but not erotic level) She went off like a red-hot firecracker on his foyer floor, then vanished. Esa never intended to participate in her best friend’s unorthodox dating scheme—flirting with hunky construction workers in Chicago traffic. Her thoughts changed when she saw a long, lean slice of heaven strutting around the side of the highway. For him, she would be the carefree sex kitten her borrowed car with its suggestive license plates implied she was. Though smarting from the wounds of a recent breakup, Finn can’t resist the tempting redhead driving the come-and-get-me car, flashing him contemptuous looks with those brandy-colored eyes. The lure of taming the feisty little kitten is just too great to deny… Reader Advisory: This book contains smoking hot, sexy scenes."
"45583C820A4F4BDAB03945F8CA64CB99",,true,,
"63F368525B3948F1B91DE10E89C09CEB",,true,"An Improper Holiday","He followed all the rules…until one man showed him a dozen ways to break them.As second son to an earl, Ian Stanton has always done the proper thing. Obeyed his elders, studied diligently, and dutifully accepted the commission his father purchased for him in the Fifty-Second Infantry Division. The one glaring, shameful, marvelous exception: Nicholas Chatham, heir to the Marquess of Carleigh.Before Ian took his position in His Majesty’s army, he and Nicky consummated two years of physical and emotional discovery. Their inexperience created painful consequences that led Ian to the conviction that their unnatural desires were never meant to be indulged.Five years later, wounded in body and plagued by memories of what happened between them, Ian is sent to carry out his older brother’s plans for a political alliance with Nicky’s father. Their sister Charlotte is the bargaining piece.Nicky never believed that what he and Ian felt for each other was wrong and he has a plan to make things right. Getting Ian to Carleigh is but the first step. Now Nicky has only twelve nights to convince Ian that happiness is not the price of honor and duty, but its reward."
"C5EF6ADB8E024DEBABB65E51A053D507",,true,,
"3509EF5450744E049E84E2B3A0BBC784",,true,"Slave Princess (Sons of Lyra Science Fiction Romance Series Book 1)","USA Today Best-selling romance author Felicity Heaton presents. Slave Princess (Sons of Lyra Science Fiction Romance Series Book 1)Captain Lyra II, known as Balt to his family, is one of the famed sons of Lyra, the handsome princes with passionate hearts that every girl in the galaxy wants to catch. The second eldest son, he’s content with the freedom and adventure that life in deep space and the Lyran Imperial Army offers him. What he isn’t content with is the current situation he’s found himself in. Not only has he been forced to stop at a backwater port for supplies, but he’s leaving with more than he expected!. Kayla is a slave but can still vaguely recall what it had been like to be free. It’s something she believes that she’ll never taste again, and when she finds herself handed over like the piece of property she is to a complete stranger, a Lyran prince no less, she’s convinced her life is about to get a lot worse. Taken onboard his ship, she quickly finds herself torn between fulfilling a promise she made to her friends when she was young, and falling for his chivalry and good looks.. Balt, not wanting a woman as his slave and not wanting to become the laughing stock of the admirals, intends to dump Kayla at the first decent planet he comes across, but as he starts to learn more about her, he finds it harder to fight his growing attraction to her. A passionate kiss from her only makes things worse. When Minervan mercenaries demand he hand her over, he discovers her true heritage and realises that things are more complicated than he’d believed.. Will Balt let her go, sending her into a life as a pleasure whore for the highest bidder, or will he fight to protect her? Will Kayla take revenge for her people, the Terrans, who were almost exterminated when Lyra destroyed the Earth system? Can love between a prince and an enslaved princess ever have a fairytale ending?. Books in the Sons of Lyra Science Fiction Romance SeriesBook 1: Slave PrincessBook 2: Runaway HeartsBook 3: Fight for LoveBook 4: StrandedAlso available as an anthology boxed set"
"C450436F55A943308D02EF12039FB09C",,true,,
